sex,n,r2_ols,beta_swim,beta_bike,beta_run,sr2_swim,sr2_bike,sr2_run,xgb_swim,xgb_bike,xgb_run,r_total_z_swim,r_pod_z_swim,r_total_z_bike,r_pod_z_bike,r_total_z_run,r_pod_z_run
men,3726,0.6832141350624918,0.10107680667067184,0.43344659266999286,0.4119940633211527,0.019266444800444704,0.13407978783662966,0.12815877345909943,0.24660784,0.29848722,0.4549049,0.40886262630820003,-0.2376213398857412,0.7200120446156468,-0.3145063720926963,0.7084264067273193,-0.35499039422415674
women,2520,0.7764514277238811,0.09469216730851024,0.4587077353239304,0.40117545641658103,0.01568292417442052,0.13234138477216428,0.09959944987793101,0.27338314,0.23740748,0.48920938,0.42590910076116073,-0.28633022752361925,0.8079496173193964,-0.3649978565380532,0.7748657930768708,-0.3901900070365232
